Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,No,2,No,Yes,2165,8102,3182,240,1,No,No
Male,Yes,2,Yes,No,4862,6280,6472,240,1,No,No
Female,No,3+,No,No,5614,5653,4090,180,1,Yes,No
Female,Yes,0,No,No,9336,5566,9842,180,1,Yes,Yes
Male,No,0,Yes,No,3583,8340,1186,180,1,Yes,No
Female,No,2,No,No,3186,3135,4881,360,1,No,Yes
Male,No,0,No,Yes,2681,4480,3382,240,1,Yes,Yes
Female,No,2,Yes,Yes,4176,3844,3574,240,1,Yes,Yes
Female,No,2,Yes,No,6681,4647,2859,360,1,No,No
Male,Yes,3+,Yes,Yes,6800,1149,2062,360,1,Yes,Yes
Male,Yes,1,No,Yes,2155,6124,4695,360,1,No,Yes
Female,Yes,2,No,Yes,8851,1309,6173,360,1,No,Yes
Male,No,2,No,Yes,7969,9923,5984,360,1,No,Yes
Male,Yes,1,No,No,5484,1585,8920,240,1,No,No
Female,No,3+,Yes,No,4400,7854,4820,240,1,No,No
Male,No,0,Yes,No,2479,6060,5388,360,1,No,No
Male,Yes,1,Yes,No,5834,1924,8311,360,1,No,Yes
Male,No,1,Yes,Yes,1245,3581,7664,240,1,No,Yes
Female,No,0,No,Yes,1547,7291,2042,360,1,No,Yes
Female,Yes,0,Yes,Yes,3431,2210,1360,180,1,No,Yes
Male,Yes,1,No,Yes,9328,8633,7971,240,1,Yes,Yes
Female,No,3+,No,No,4760,3851,1692,180,1,Yes,No
Female,No,0,No,No,5296,5599,2122,180,1,No,No
Female,No,1,No,No,6165,3622,7047,360,1,Yes,No
Female,No,1,No,Yes,4521,9433,3667,240,1,Yes,Yes
Female,No,3+,Yes,Yes,1604,8614,5758,240,1,No,Yes
Male,No,3+,No,No,1893,5012,9429,240,1,No,No
Male,No,0,No,Yes,6305,9277,8585,360,0,Yes,No
Male,Yes,3+,No,Yes,6701,7206,6191,180,1,Yes,No
Male,Yes,3+,Yes,Yes,3732,5516,3260,240,1,No,No
Female,Yes,0,No,No,9629,3975,7382,240,0,Yes,No
Female,Yes,3+,Yes,No,4524,3930,3720,360,1,No,No
Male,Yes,3+,No,No,5562,4560,7015,180,1,No,Yes
Female,No,1,No,Yes,3070,2002,4035,180,1,No,No
Female,Yes,3+,No,No,5274,1886,7347,360,1,Yes,No
Male,Yes,3+,No,No,5014,3793,8530,360,1,No,Yes
Male,Yes,0,Yes,Yes,9829,7308,2618,180,1,Yes,Yes
Female,Yes,1,Yes,No,2754,2985,2909,180,1,Yes,No
Male,No,0,Yes,No,3874,2186,1280,360,1,Yes,No
Female,No,1,No,No,7687,5052,5420,360,1,No,Yes
Male,Yes,3+,No,Yes,7269,3003,2484,360,1,Yes,Yes
Female,No,3+,Yes,No,3962,4522,1280,240,0,Yes,No
Female,Yes,3+,Yes,No,8724,5506,6153,360,1,Yes,No
Female,No,3+,Yes,No,2523,2339,1655,240,1,Yes,Yes
Male,Yes,1,Yes,No,6759,7684,7441,180,0,Yes,No
Male,Yes,2,No,No,9294,1851,9526,180,1,Yes,No
Male,No,0,Yes,Yes,6443,7205,3620,360,1,No,Yes
Female,Yes,1,Yes,Yes,9374,7250,3922,240,0,No,No
Female,No,2,No,No,1654,6099,5292,360,1,Yes,No
Male,No,0,No,Yes,5020,4166,8670,180,1,No,Yes
Male,Yes,1,No,No,8845,8353,2988,180,1,No,No
Female,No,2,No,Yes,8817,7992,2243,180,0,No,No
Male,No,2,Yes,Yes,6508,8721,5422,180,1,No,No
Male,Yes,1,No,Yes,1515,2353,2001,240,1,Yes,No
Female,No,3+,Yes,No,1026,5988,4053,240,1,Yes,No
Male,Yes,2,No,Yes,9778,7892,4604,240,1,No,No
Male,Yes,3+,No,No,2441,7178,6940,240,1,Yes,Yes
Male,Yes,2,No,No,5596,9112,6493,180,1,No,No
Male,No,0,No,No,7134,6368,3816,240,1,No,Yes
Male,Yes,1,No,No,5232,4239,9169,180,1,No,Yes
Female,Yes,3+,Yes,Yes,7682,9339,1873,180,1,Yes,No
Male,Yes,1,Yes,Yes,9103,8099,1169,180,1,No,Yes
Male,Yes,1,Yes,No,8586,7941,2452,240,1,No,No
Female,Yes,3+,No,No,9310,2081,6650,360,1,Yes,No
Male,Yes,3+,Yes,Yes,1622,3130,5269,360,1,Yes,No
Female,No,2,No,Yes,3446,2380,2658,180,1,No,Yes
Male,Yes,1,Yes,No,4722,3576,7197,360,1,Yes,No
Male,Yes,3+,No,No,7281,9631,2616,360,1,Yes,No
Male,Yes,3+,No,No,7818,9433,1968,360,1,No,No
Female,Yes,0,No,No,7248,8742,7866,240,1,Yes,Yes
Male,Yes,3+,No,No,8778,9304,6146,180,1,No,Yes
Female,No,1,No,Yes,4116,3028,7055,240,1,No,Yes
Female,No,2,Yes,No,5296,4197,7129,240,1,Yes,Yes
Male,Yes,3+,No,Yes,5331,8266,7086,180,1,Yes,Yes
Female,No,3+,Yes,No,3907,6328,3160,240,1,No,Yes
Male,No,3+,No,No,8382,7594,8614,360,1,No,No
Female,No,3+,Yes,Yes,7235,2914,5901,240,1,Yes,No
Female,No,2,Yes,No,6494,5813,4375,240,1,Yes,Yes
Male,No,2,No,No,9693,7959,9669,360,1,Yes,No
Male,No,2,Yes,No,6877,9809,9284,180,1,No,Yes
Male,No,2,No,Yes,2873,1627,4891,240,1,Yes,No
Female,No,0,Yes,No,4730,8343,8612,240,0,No,No
Male,No,3+,Yes,Yes,4565,2117,5098,240,1,Yes,No
Male,Yes,0,No,Yes,9757,3498,1055,240,1,Yes,No
Female,Yes,0,No,Yes,8104,5930,7596,180,1,No,No
Male,Yes,3+,No,Yes,3900,2915,3619,240,1,No,Yes
Female,Yes,2,Yes,No,3527,7377,1696,360,1,Yes,Yes
Female,No,3+,Yes,Yes,8328,4098,9159,360,1,Yes,No
Female,No,1,Yes,No,7462,9897,5201,240,1,No,No
Male,Yes,0,No,No,2613,5312,8732,180,1,Yes,No
Female,Yes,0,No,Yes,4108,4450,6531,360,1,Yes,Yes
Male,Yes,2,Yes,Yes,3811,9926,8106,180,1,Yes,No
Male,Yes,3+,Yes,Yes,9593,8039,9897,360,1,Yes,Yes
Female,No,2,No,No,5296,5384,1711,240,0,No,Yes
Male,Yes,0,No,No,8576,7687,8749,240,1,No,Yes
Male,Yes,0,Yes,Yes,3015,7356,5599,180,1,Yes,No
Female,Yes,2,No,No,9698,2922,8558,240,1,Yes,Yes
Female,No,2,No,No,8774,5016,9592,180,1,No,Yes
Male,No,1,Yes,No,8258,4764,5331,240,1,No,Yes
Male,No,3+,Yes,Yes,3104,5687,7636,180,0,No,No
Male,No,1,No,Yes,1365,6808,3156,360,1,No,Yes
Female,Yes,3+,No,No,7730,6512,7493,360,1,Yes,No
Male,Yes,3+,Yes,Yes,1392,2136,8335,180,1,Yes,No
Female,No,3+,No,Yes,8186,2092,2764,240,1,Yes,No
Male,Yes,1,Yes,No,3133,7852,6794,240,1,No,Yes
Male,No,2,No,No,5788,6561,1716,240,1,Yes,No
Female,No,3+,No,Yes,4549,3247,7901,360,1,Yes,No
Male,Yes,3+,Yes,Yes,7716,5312,5106,240,1,No,No
Female,No,2,No,No,3139,1565,3741,180,0,Yes,Yes
Female,No,2,Yes,Yes,9269,2809,7560,360,1,Yes,Yes
Female,No,0,No,Yes,8025,4545,8547,180,1,No,Yes
Male,No,3+,No,No,4325,2508,4158,180,1,No,Yes
Male,Yes,3+,No,No,2119,2475,3109,360,1,Yes,Yes
Female,No,2,No,Yes,2807,2700,3078,240,1,No,No
Female,No,1,Yes,No,1846,9238,1421,360,1,No,Yes
Female,Yes,2,No,Yes,5807,2617,5606,360,1,Yes,No
Female,Yes,1,Yes,Yes,1633,9786,2438,180,0,No,Yes
Male,Yes,3+,Yes,No,4108,5537,5073,180,0,No,No
Female,No,2,No,Yes,8026,7689,8278,360,0,Yes,No
Male,No,0,No,No,3269,7441,8833,360,1,No,Yes
Male,No,1,Yes,Yes,3897,5690,6238,240,1,Yes,Yes
Female,Yes,1,Yes,No,8562,6151,7612,180,1,Yes,Yes
Male,Yes,0,Yes,Yes,4182,9124,6074,240,1,Yes,No
Male,No,1,Yes,Yes,1157,4975,8826,240,1,No,No
Male,Yes,0,Yes,Yes,3070,6699,4564,360,1,Yes,No
Female,Yes,1,No,No,1078,8915,4105,240,1,Yes,Yes
Female,No,1,No,No,9018,1856,5090,180,1,No,No
Female,Yes,0,No,No,1112,2070,9520,240,1,No,Yes
Female,Yes,2,No,No,7829,6030,8898,240,1,No,No
Male,No,2,No,Yes,5748,6598,4781,180,0,Yes,No
Female,Yes,0,No,Yes,6426,8530,8774,240,1,No,Yes
Female,No,0,Yes,No,6872,5461,1959,180,1,Yes,No
Female,Yes,1,No,No,4598,8617,9141,240,1,No,No
Male,No,0,No,Yes,2076,4108,8663,240,1,No,Yes
Female,Yes,0,No,No,9975,3349,5572,180,1,No,Yes
Male,Yes,1,No,No,5915,7943,2014,360,1,No,No
Male,Yes,1,Yes,Yes,9605,2180,8353,180,0,No,No
Female,No,1,Yes,Yes,8135,2391,6958,240,0,No,Yes
Male,No,3+,No,Yes,5008,7756,5917,360,1,Yes,No
Female,No,1,No,Yes,5888,2406,7389,360,1,Yes,Yes
Male,Yes,2,No,No,2033,5228,7712,240,1,Yes,Yes
Male,Yes,1,Yes,Yes,1279,9328,3067,180,1,Yes,No
Male,No,1,No,No,7128,1193,3316,240,1,No,Yes
Male,No,3+,No,Yes,2460,6672,4023,360,0,No,Yes
Female,No,3+,No,No,4134,9679,8073,360,1,Yes,Yes
Female,Yes,3+,Yes,No,6816,6332,3767,180,1,Yes,Yes
Female,No,3+,No,Yes,5456,6345,3396,180,1,No,No
Male,No,1,Yes,Yes,5033,3582,3626,240,1,No,Yes
Male,No,3+,Yes,Yes,8947,7958,4700,240,1,Yes,Yes
Male,No,0,Yes,Yes,1928,6129,8280,180,0,Yes,Yes
Male,Yes,0,No,Yes,1807,5193,4420,240,1,No,Yes
Female,Yes,1,No,Yes,9213,1082,3709,360,1,No,Yes
Male,No,0,No,Yes,6448,3852,5424,360,1,No,Yes
Male,No,0,No,No,1655,6555,3760,240,1,No,No
Female,No,0,Yes,Yes,2114,8398,1002,360,1,No,No
Male,No,2,Yes,No,9576,3039,6650,360,1,No,No
Male,No,2,Yes,No,6682,5030,4592,240,1,No,Yes
Female,Yes,2,No,Yes,1768,9095,3245,360,1,Yes,Yes
Female,No,3+,Yes,Yes,8975,7562,6402,360,0,No,Yes
Female,No,3+,No,Yes,4966,9402,6625,360,1,No,No
Male,No,3+,No,No,3215,9932,2485,360,1,Yes,No
Female,No,3+,Yes,No,7413,2602,1437,180,0,Yes,Yes
Male,No,1,Yes,No,4146,7369,8641,240,1,Yes,No
Female,No,0,No,No,5007,2676,1746,360,1,Yes,No
Male,No,3+,Yes,No,7772,4288,4706,180,1,Yes,No
Male,Yes,2,Yes,No,6246,4554,8613,180,1,No,No
Male,Yes,3+,No,Yes,1358,4409,8031,360,1,Yes,Yes
Male,No,2,Yes,Yes,6308,9842,2932,240,1,Yes,No
Male,No,3+,Yes,Yes,9788,2115,8815,240,1,No,Yes
Female,Yes,1,No,No,6486,7075,9558,180,0,Yes,No
Male,Yes,1,Yes,Yes,6414,1562,8660,180,1,No,No
Female,No,1,Yes,Yes,5909,9266,1651,240,1,No,Yes
Male,No,3+,Yes,No,5939,9546,8362,240,0,Yes,No
Female,No,3+,No,Yes,6930,9722,4341,240,1,No,Yes
Male,Yes,2,Yes,No,5396,2455,4857,240,1,Yes,Yes
Female,Yes,1,No,Yes,5330,6291,1534,180,1,Yes,No
Female,No,0,No,No,8133,4001,5551,180,1,No,Yes
Male,Yes,2,No,No,9226,6579,9440,360,1,Yes,Yes
Male,Yes,0,No,Yes,6716,4081,7973,360,1,No,No
Male,Yes,0,No,Yes,1276,1100,3404,180,1,No,Yes
Male,Yes,2,Yes,No,1301,7794,5265,360,1,No,No
Female,No,3+,Yes,Yes,4209,6687,1838,240,1,Yes,Yes
Male,No,3+,No,No,7124,5122,5730,180,1,Yes,Yes
Female,No,2,No,No,3105,1303,4202,240,1,Yes,No
Female,No,3+,Yes,No,8763,9868,8152,360,1,No,No
Male,No,0,No,Yes,9311,4175,3808,180,1,Yes,No
Male,No,1,Yes,No,5330,6315,3981,180,1,No,No
Female,No,3+,No,Yes,8796,3217,4533,180,0,Yes,Yes
Female,Yes,0,Yes,Yes,2411,2219,3946,240,1,Yes,No
Female,No,3+,No,Yes,5308,5352,6322,360,0,Yes,Yes
Female,No,3+,Yes,Yes,9728,8264,6375,360,1,Yes,No
Female,No,3+,Yes,Yes,9115,4236,7135,180,1,Yes,No
Female,Yes,0,No,Yes,7463,5394,5387,180,1,No,No
Male,No,2,No,Yes,6495,9137,5567,360,1,No,No
Female,No,3+,Yes,Yes,5701,5462,9655,180,1,Yes,No
Male,Yes,2,No,Yes,2507,5978,1181,360,1,No,Yes
Male,Yes,2,No,Yes,3567,5173,7976,240,1,Yes,No
Male,Yes,0,No,Yes,1634,4690,4049,240,1,No,Yes
Male,Yes,3+,Yes,No,7575,1235,4197,180,1,Yes,Yes
Female,Yes,0,No,Yes,6792,7633,9453,180,0,No,No
Female,No,2,No,No,6477,6494,5689,180,1,No,No
Female,No,1,No,Yes,5334,4125,8586,180,1,Yes,Yes
Male,No,2,Yes,No,9097,1246,3843,180,0,Yes,Yes
Male,Yes,0,No,No,7860,6310,1558,360,1,Yes,No
Male,Yes,1,No,No,1308,2101,5016,360,1,Yes,No
Female,Yes,3+,Yes,No,4918,4819,3850,360,1,Yes,Yes
Male,Yes,2,Yes,Yes,8256,4976,6426,240,1,Yes,No
Male,No,2,No,No,8121,9547,2852,360,1,No,No
Male,Yes,2,Yes,No,5233,6122,8323,360,1,No,Yes
Female,No,2,Yes,No,1103,3902,2527,360,1,Yes,No
Female,Yes,3+,Yes,Yes,9269,4669,3261,180,1,No,Yes
Female,Yes,2,No,No,6992,5712,3357,360,1,No,No
Female,No,2,Yes,No,6429,2169,9700,360,1,No,No
Female,No,0,No,Yes,5315,5884,3781,180,1,Yes,Yes
Male,Yes,3+,Yes,Yes,8102,2473,7392,240,1,No,Yes
Male,Yes,1,Yes,No,9137,1618,8017,240,0,Yes,No
Female,No,2,No,Yes,2944,7123,2209,240,1,No,Yes
Female,No,3+,Yes,No,4058,5579,1155,240,0,No,Yes
Female,No,2,No,Yes,8442,4406,4087,180,0,Yes,Yes
Female,Yes,3+,No,No,4343,2508,6206,180,1,Yes,No
Male,Yes,2,Yes,Yes,6224,7147,7504,180,0,Yes,No
Male,No,1,No,No,5058,5567,3457,360,1,Yes,Yes
Male,Yes,1,No,No,1294,2850,3816,240,1,No,No
Female,No,3+,No,Yes,6797,4470,6454,240,1,Yes,No
Female,No,3+,No,Yes,3297,3277,6427,180,1,No,Yes
Female,No,0,No,No,5785,6532,2203,360,1,Yes,No
Male,No,1,No,Yes,8137,6211,6266,180,1,No,Yes
Male,Yes,0,No,Yes,1246,8306,4212,240,0,No,Yes
Female,No,1,No,Yes,7198,8705,4658,360,1,No,No
Male,Yes,0,Yes,No,1098,2643,6365,360,0,No,No
Female,No,0,Yes,No,2100,6777,2079,240,1,No,Yes
Male,No,2,No,Yes,1925,3353,9008,360,1,Yes,No
Female,No,2,No,Yes,5209,6401,5109,180,1,No,No
Female,Yes,3+,Yes,No,1862,8838,9257,240,1,No,No
Male,No,2,No,Yes,8971,8551,3776,240,1,Yes,Yes
Male,Yes,1,No,No,2249,9582,3874,180,0,No,No
Male,No,1,Yes,Yes,5308,5771,6085,180,1,Yes,Yes
Female,Yes,3+,Yes,Yes,8254,1746,4503,240,1,Yes,Yes
Female,No,1,Yes,Yes,9197,9400,1214,180,1,No,No
Female,No,0,No,Yes,5221,2352,3117,180,0,No,No
Female,Yes,3+,No,No,2697,1541,6065,240,1,No,No
Female,Yes,2,Yes,Yes,9625,5207,9063,240,1,No,Yes
Female,No,3+,Yes,Yes,6708,2731,8693,240,1,No,No
Female,No,1,No,No,3209,4922,3666,180,1,Yes,No
Female,No,0,No,Yes,5485,4413,6646,240,1,Yes,Yes
Female,No,1,Yes,No,4517,5067,2855,360,0,Yes,Yes
Female,Yes,1,Yes,No,9907,4829,5336,180,0,Yes,No
Male,Yes,0,No,Yes,9489,3410,2866,180,1,No,Yes
Female,No,0,No,Yes,7563,7889,3424,180,1,No,Yes
Male,No,0,No,Yes,7674,6325,8003,180,1,Yes,Yes
Female,No,0,Yes,No,2171,5358,4760,180,1,No,Yes
Female,No,2,No,No,7025,7312,8964,240,0,Yes,Yes
Female,Yes,3+,Yes,Yes,6923,9462,1356,360,1,No,Yes
Male,Yes,1,Yes,Yes,3606,4038,5220,240,1,No,Yes
Female,Yes,0,Yes,No,1346,1446,7064,240,1,No,Yes
Female,No,3+,Yes,No,8980,3498,9983,240,1,No,Yes
Male,Yes,0,No,Yes,4201,4712,2265,180,0,Yes,No
Female,Yes,0,Yes,No,3236,2381,3121,240,1,Yes,Yes
Female,No,2,Yes,Yes,4533,1687,3779,180,1,Yes,No
Female,No,3+,Yes,Yes,8340,4736,8696,180,1,No,Yes
Female,No,0,Yes,Yes,1905,6367,1911,180,1,No,Yes
Female,Yes,0,No,No,6028,3812,4906,180,1,Yes,Yes
Male,No,1,No,Yes,6096,8738,7687,360,0,Yes,Yes
Female,No,0,Yes,Yes,5159,7543,4332,180,1,No,No
Female,No,0,No,Yes,1084,2130,7256,180,1,No,Yes
Male,Yes,1,No,Yes,8382,7475,6812,240,1,No,No
Male,Yes,1,Yes,No,8541,5331,1385,180,1,Yes,No
Female,Yes,2,Yes,No,2236,4774,6943,360,1,Yes,Yes
Female,Yes,3+,Yes,Yes,3950,7188,5074,180,1,No,Yes
Female,No,3+,Yes,Yes,7240,8780,2549,240,1,No,Yes
Female,No,0,No,No,2345,4827,6684,360,1,No,Yes
Male,No,1,No,Yes,1803,7119,4294,240,1,Yes,No
Female,Yes,1,No,No,6778,7517,3369,180,1,No,Yes
Male,Yes,3+,Yes,No,4887,4891,1942,240,0,Yes,Yes
Female,No,3+,Yes,No,9205,9390,7249,240,1,No,Yes
Male,No,3+,No,Yes,5894,7114,3964,180,1,No,Yes
Male,Yes,3+,Yes,Yes,7668,7210,3909,180,1,No,No
Female,No,2,No,No,3435,5810,5029,240,1,Yes,Yes
Female,Yes,3+,No,No,4208,8470,9426,180,1,No,No
Female,Yes,0,No,No,2430,2186,3493,360,1,Yes,Yes
Female,Yes,2,Yes,No,5463,6770,9550,240,1,No,Yes
Male,Yes,1,Yes,Yes,5057,2157,5470,360,1,Yes,No
Female,Yes,2,No,No,1550,6265,7234,360,1,Yes,No
Female,Yes,2,Yes,No,6674,5356,8068,360,1,No,No
Male,Yes,1,Yes,No,4004,5458,4271,240,1,Yes,Yes
Male,Yes,3+,Yes,No,8622,8929,2630,360,1,No,No
Female,No,3+,No,Yes,9409,4997,3098,240,1,No,Yes
Male,Yes,0,No,No,4438,3548,5235,240,1,Yes,Yes
Female,No,0,Yes,No,8508,9616,5444,240,1,Yes,Yes
Female,Yes,2,Yes,Yes,3847,1358,8912,240,1,No,Yes
Male,No,2,No,Yes,3391,8646,4788,180,1,No,Yes
Female,Yes,3+,Yes,No,5285,6796,1759,180,0,Yes,Yes
Female,Yes,3+,Yes,Yes,7339,6420,6850,360,1,No,No
Male,No,2,Yes,Yes,8366,3097,3435,180,1,Yes,No
Female,No,2,Yes,Yes,2997,3706,3540,180,1,No,No
Male,No,1,Yes,Yes,8686,5644,5988,180,1,Yes,No
Male,No,2,Yes,Yes,9796,4258,3237,360,1,Yes,No
Male,Yes,2,No,No,4193,6625,1499,360,1,Yes,No
Male,No,1,Yes,Yes,1477,4838,4685,360,1,No,No
Male,Yes,0,Yes,Yes,7914,1070,3644,360,1,Yes,No
